Sample	Population	Superpopulation	Relationship
HG01862	KHV	EAS	nan
HG01863	KHV	EAS	nan
HG01864	KHV	EAS	nan
HG01865	KHV	EAS	nan
HG01866	KHV	EAS	nan
HG01867	KHV	EAS	nan
HG01868	KHV	EAS	nan
HG01869	KHV	EAS	nan
HG01870	KHV	EAS	nan
HG01871	KHV	EAS	nan
HG01872	KHV	EAS	nan
HG01873	KHV	EAS	nan
HG01874	KHV	EAS	nan
HG01878	KHV	EAS	nan
HG01879	ACB	AFR	father
HG01880	ACB	AFR	mother
HG01881	ACB	AFR	child
HG01882	ACB	AFR	father
HG01883	ACB	AFR	mother
HG01884	ACB	AFR	child
HG01885	ACB	AFR	father
HG01886	ACB	AFR	mother
HG01887	ACB	AFR	child
HG01888	ACB	AFR	child
HG01889	ACB	AFR	mother
HG01890	ACB	AFR	father
HG01891	ACB	AFR	child
HG01892	PEL	AMR	father
HG01893	PEL	AMR	mother
HG01894	ACB	AFR	mother
HG01895	ACB	AFR	child
HG01896	ACB	AFR	mother
HG01897	ACB	AFR	child
HG01898	PEL	AMR	child
HG01912	ACB	AFR	father
HG01914	ACB	AFR	father
HG01915	ACB	AFR	mother
HG01916	ACB	AFR	child
HG01917	PEL	AMR	father
HG01918	PEL	AMR	mother
HG01919	PEL	AMR	child
HG01920	PEL	AMR	father
HG01921	PEL	AMR	mother
HG01922	PEL	AMR	child
HG01923	PEL	AMR	father
HG01924	PEL	AMR	mother
HG01925	PEL	AMR	child
HG01926	PEL	AMR	father
HG01927	PEL	AMR	mother
HG01928	PEL	AMR	child
HG01932	PEL	AMR	father
HG01933	PEL	AMR	mother
HG01934	PEL	AMR	child
HG01935	PEL	AMR	father
HG01936	PEL	AMR	mother
HG01937	PEL	AMR	child
HG01938	PEL	AMR	father
HG01939	PEL	AMR	mother
HG01940	PEL	AMR	child
HG01941	PEL	AMR	father
HG01942	PEL	AMR	mother
HG01943	PEL	AMR	child
HG01944	PEL	AMR	father
HG01945	PEL	AMR	mother
HG01946	PEL	AMR	child
HG01947	PEL	AMR	father
HG01948	PEL	AMR	mother
HG01949	PEL	AMR	child
HG01950	PEL	AMR	father
HG01951	PEL	AMR	mother
HG01952	PEL	AMR	child
HG01953	PEL	AMR	father
HG01954	PEL	AMR	mother
HG01955	PEL	AMR	child
HG01956	ACB	AFR	mother
HG01958	ACB	AFR	mother
HG01959	ACB	AFR	child
HG01960	ACB	AFR	child
HG01961	PEL	AMR	father
HG01965	PEL	AMR	mother
HG01967	PEL	AMR	father
HG01968	PEL	AMR	mother
HG01969	PEL	AMR	child
HG01970	PEL	AMR	father
HG01971	PEL	AMR	mother
HG01972	PEL	AMR	child
HG01973	PEL	AMR	mother
HG01974	PEL	AMR	father
HG01975	PEL	AMR	child
HG01976	PEL	AMR	mother
HG01977	PEL	AMR	father
HG01978	PEL	AMR	child
HG01979	PEL	AMR	father
HG01980	PEL	AMR	mother
HG01981	PEL	AMR	child
HG01982	PEL	AMR	father
HG01983	PEL	AMR	mother
HG01984	PEL	AMR	child
HG01985	ACB	AFR	nan
HG01986	ACB	AFR	father
HG01987	ACB	AFR	child
HG01988	ACB	AFR	father
HG01989	ACB	AFR	mother
HG01990	ACB	AFR	father
HG01991	PEL	AMR	father
HG01992	PEL	AMR	mother
HG01993	PEL	AMR	child
HG01995	PEL	AMR	mother
HG01997	PEL	AMR	mother
HG01998	PEL	AMR	child
HG02002	PEL	AMR	father
HG02003	PEL	AMR	mother
HG02004	PEL	AMR	child
HG02006	PEL	AMR	child
HG02008	PEL	AMR	father
HG02009	ACB	AFR	father
HG02010	ACB	AFR	mother
HG02011	ACB	AFR	child
HG02012	ACB	AFR	mother
HG02013	ACB	AFR	father
HG02014	ACB	AFR	father
HG02015	KHV	EAS	child
HG02016	KHV	EAS	mother
HG02017	KHV	EAS	father
HG02018	KHV	EAS	child
HG02019	KHV	EAS	mother
HG02020	KHV	EAS	father
HG02021	KHV	EAS	child
HG02023	KHV	EAS	father
HG02024	KHV	EAS	child
HG02025	KHV	EAS	mother
HG02026	KHV	EAS	father
HG02027	KHV	EAS	child
HG02028	KHV	EAS	mother
HG02029	KHV	EAS	father
HG02030	KHV	EAS	child
HG02031	KHV	EAS	mother
HG02032	KHV	EAS	father
HG02035	KHV	EAS	nan
HG02040	KHV	EAS	nan
HG02046	KHV	EAS	nan
HG02047	KHV	EAS	nan
HG02048	KHV	EAS	nan
HG02049	KHV	EAS	nan
HG02050	KHV	EAS	nan
HG02051	ACB	AFR	nan
HG02052	ACB	AFR	nan
HG02053	ACB	AFR	father
HG02054	ACB	AFR	mother
HG02055	ACB	AFR	child
HG02056	KHV	EAS	child
HG02057	KHV	EAS	mother
HG02058	KHV	EAS	father
HG02059	KHV	EAS	child
HG02060	KHV	EAS	mother
HG02061	KHV	EAS	father
HG02064	KHV	EAS	nan
HG02067	KHV	EAS	nan
HG02068	KHV	EAS	child
HG02069	KHV	EAS	mother
HG02070	KHV	EAS	father
HG02071	KHV	EAS	child
HG02072	KHV	EAS	mother
HG02073	KHV	EAS	father
HG02074	KHV	EAS	child
HG02075	KHV	EAS	mother
HG02076	KHV	EAS	father
HG02077	KHV	EAS	child
HG02078	KHV	EAS	mother
HG02079	KHV	EAS	father
HG02080	KHV	EAS	child
HG02081	KHV	EAS	mother
HG02082	KHV	EAS	father
HG02083	KHV	EAS	child
HG02084	KHV	EAS	mother
HG02085	KHV	EAS	father
HG02086	KHV	EAS	nan
HG02087	KHV	EAS	nan
HG02088	KHV	EAS	nan
HG02089	PEL	AMR	mother
HG02090	PEL	AMR	father
HG02091	PEL	AMR	child
HG02095	ACB	AFR	nan
HG02102	PEL	AMR	child
HG02104	PEL	AMR	father
HG02105	PEL	AMR	mother
HG02106	PEL	AMR	child
HG02107	ACB	AFR	nan
HG02108	ACB	AFR	nan
HG02111	ACB	AFR	nan
HG02113	KHV	EAS	nan
HG02116	KHV	EAS	nan
HG02120	KHV	EAS	child
HG02121	KHV	EAS	mother
HG02122	KHV	EAS	father
HG02126	KHV	EAS	child
HG02127	KHV	EAS	mother
HG02128	KHV	EAS	father
HG02129	KHV	EAS	child
HG02130	KHV	EAS	mother
HG02131	KHV	EAS	father
HG02132	KHV	EAS	child
HG02133	KHV	EAS	mother
HG02134	KHV	EAS	father
HG02135	KHV	EAS	child
HG02136	KHV	EAS	mother
HG02137	KHV	EAS	father
HG02138	KHV	EAS	nan
HG02139	KHV	EAS	nan
HG02140	KHV	EAS	nan
HG02141	KHV	EAS	nan
HG02142	KHV	EAS	nan
HG02143	ACB	AFR	father
HG02144	ACB	AFR	mother
HG02145	ACB	AFR	child
HG02146	PEL	AMR	father
HG02147	PEL	AMR	mother
HG02148	PEL	AMR	child
HG02150	PEL	AMR	child
HG02151	CDX	EAS	nan
HG02152	CDX	EAS	nan
HG02153	CDX	EAS	nan
HG02154	CDX	EAS	nan
HG02155	CDX	EAS	nan
HG02156	CDX	EAS	nan
HG02164	CDX	EAS	nan
HG02165	CDX	EAS	nan
HG02166	CDX	EAS	nan
HG02168	CDX	EAS	unrel
HG02169	CDX	EAS	unrel
HG02170	CDX	EAS	unrel
HG02173	CDX	EAS	unrel
HG02176	CDX	EAS	unrel
HG02178	CDX	EAS	nan
HG02179	CDX	EAS	nan
HG02180	CDX	EAS	nan
HG02181	CDX	EAS	nan
HG02182	CDX	EAS	nan
HG02184	CDX	EAS	nan
HG02185	CDX	EAS	nan
HG02186	CDX	EAS	nan
HG02187	CDX	EAS	nan
HG02188	CDX	EAS	nan
HG02189	CDX	EAS	nan
HG02190	CDX	EAS	nan
HG02215	GBR	EUR	nan
HG02217	IBS	EUR	child
HG02218	IBS	EUR	mother
HG02219	IBS	EUR	father
HG02220	IBS	EUR	mother
HG02221	IBS	EUR	father
HG02222	IBS	EUR	child
HG02223	IBS	EUR	mother
HG02224	IBS	EUR	father
HG02225	IBS	EUR	child
HG02229	IBS	EUR	child
HG02230	IBS	EUR	mother
HG02231	IBS	EUR	father
HG02232	IBS	EUR	mother
HG02233	IBS	EUR	father
HG02234	IBS	EUR	child
HG02235	IBS	EUR	mother
HG02236	IBS	EUR	father
HG02237	IBS	EUR	child
HG02238	IBS	EUR	father
HG02239	IBS	EUR	mother
HG02240	IBS	EUR	child
HG02250	CDX	EAS	nan
HG02252	PEL	AMR	mother
HG02253	PEL	AMR	father
HG02254	PEL	AMR	child
HG02255	ACB	AFR	father
HG02256	ACB	AFR	mother
HG02257	ACB	AFR	child
HG02258	ACB	AFR	child
HG02259	PEL	AMR	father
HG02260	PEL	AMR	mother
HG02261	PEL	AMR	child
HG02262	PEL	AMR	child
HG02265	PEL	AMR	father
HG02266	PEL	AMR	mother
HG02267	PEL	AMR	child
HG02271	PEL	AMR	father
HG02272	PEL	AMR	mother
HG02273	PEL	AMR	child
HG02274	PEL	AMR	father
HG02275	PEL	AMR	mother
HG02276	PEL	AMR	child
HG02277	PEL	AMR	father
HG02278	PEL	AMR	mother
HG02279	PEL	AMR	child
HG02280	ACB	AFR	child
HG02281	ACB	AFR	father
HG02282	ACB	AFR	mother
HG02283	ACB	AFR	nan
HG02284	ACB	AFR	nan
HG02285	PEL	AMR	father
HG02286	PEL	AMR	mother
HG02287	PEL	AMR	child
HG02288	PEL	AMR	father
HG02291	PEL	AMR	father
HG02292	PEL	AMR	mother
HG02293	PEL	AMR	child
HG02298	PEL	AMR	mother
HG02299	PEL	AMR	father
HG02300	PEL	AMR	child
HG02301	PEL	AMR	mother
HG02302	PEL	AMR	father
HG02303	PEL	AMR	child
HG02304	PEL	AMR	child
HG02307	ACB	AFR	father
HG02308	ACB	AFR	mother
HG02309	ACB	AFR	nan
HG02312	PEL	AMR	child
HG02314	ACB	AFR	father
HG02315	ACB	AFR	mother
HG02316	ACB	AFR	child
HG02317	ACB	AFR	father
HG02318	ACB	AFR	mother
HG02321	ACB	AFR	child
HG02322	ACB	AFR	nan
HG02323	ACB	AFR	nan
HG02325	ACB	AFR	nan
HG02330	ACB	AFR	nan
HG02332	ACB	AFR	nan
HG02334	ACB	AFR	nan
HG02337	ACB	AFR	nan
HG02339	ACB	AFR	nan
HG02343	ACB	AFR	nan
HG02344	PEL	AMR	father
HG02345	PEL	AMR	mother
HG02347	PEL	AMR	father
HG02348	PEL	AMR	mother
HG02351	CDX	EAS	nan
HG02353	CDX	EAS	nan
HG02355	CDX	EAS	nan
HG02356	CDX	EAS	nan
HG02358	CDX	EAS	unrel
HG02360	CDX	EAS	nan
HG02363	CDX	EAS	nan
HG02364	CDX	EAS	nan
HG02367	CDX	EAS	nan
HG02371	CDX	EAS	nan
HG02372	CDX	EAS	nan
HG02373	CDX	EAS	nan
HG02374	CDX	EAS	nan
HG02375	CDX	EAS	nan
HG02377	CDX	EAS	nan
HG02379	CDX	EAS	nan
HG02380	CDX	EAS	nan
HG02381	CDX	EAS	nan
HG02382	CDX	EAS	nan
HG02383	CDX	EAS	nan
HG02384	CDX	EAS	nan
HG02385	CDX	EAS	nan
HG02386	CDX	EAS	nan
HG02387	CDX	EAS	nan
HG02388	CDX	EAS	nan
HG02389	CDX	EAS	nan
HG02390	CDX	EAS	nan
HG02391	CDX	EAS	nan
HG02392	CDX	EAS	nan
HG02394	CDX	EAS	nan
HG02395	CDX	EAS	nan
HG02396	CDX	EAS	nan
HG02397	CDX	EAS	nan
HG02398	CDX	EAS	nan
HG02399	CDX	EAS	nan
HG02401	CDX	EAS	nan
HG02402	CDX	EAS	nan
HG02405	CDX	EAS	unrel
HG02406	CDX	EAS	nan
HG02407	CDX	EAS	nan
HG02408	CDX	EAS	unrel
HG02409	CDX	EAS	nan
HG02410	CDX	EAS	unrel
HG02415	PEL	AMR	mother
HG02419	ACB	AFR	nan
HG02420	ACB	AFR	father
HG02425	PEL	AMR	mother
HG02427	ACB	AFR	mother
HG02428	ACB	AFR	child
HG02429	ACB	AFR	nan
HG02433	ACB	AFR	nan
HG02436	ACB	AFR	nan
HG02439	ACB	AFR	father
HG02442	ACB	AFR	nan
HG02445	ACB	AFR	nan
HG02449	ACB	AFR	father
HG02450	ACB	AFR	mother
HG02451	ACB	AFR	child
HG02455	ACB	AFR	father
HG02461	GWD	AFR	father
HG02462	GWD	AFR	mother
HG02463	GWD	AFR	child
HG02464	GWD	AFR	father
HG02465	GWD	AFR	mother
HG02466	GWD	AFR	child
HG02470	ACB	AFR	nan
HG02471	ACB	AFR	nan
HG02476	ACB	AFR	mother
HG02477	ACB	AFR	mother
HG02478	ACB	AFR	father
HG02479	ACB	AFR	mother
HG02480	ACB	AFR	child
HG02481	ACB	AFR	father
HG02484	ACB	AFR	father
HG02485	ACB	AFR	mother
HG02486	ACB	AFR	child
HG02489	ACB	AFR	nan
HG02490	PJL	SAS	father
HG02491	PJL	SAS	mother
HG02492	PJL	SAS	child
HG02493	PJL	SAS	father
HG02494	PJL	SAS	mother
HG02495	PJL	SAS	child
HG02496	ACB	AFR	nan
HG02497	ACB	AFR	nan
HG02501	ACB	AFR	father
HG02502	ACB	AFR	mother
HG02505	ACB	AFR	mother
HG02508	ACB	AFR	nan
HG02511	ACB	AFR	nan
HG02512	KHV	EAS	father
HG02513	KHV	EAS	mother
HG02514	KHV	EAS	child
HG02521	KHV	EAS	father
HG02522	KHV	EAS	mother
HG02523	KHV	EAS	child
HG02524	KHV	EAS	father
HG02525	KHV	EAS	mother
HG02526	KHV	EAS	child
HG02536	ACB	AFR	father
HG02537	ACB	AFR	mother
HG02541	ACB	AFR	father
HG02545	ACB	AFR	father
HG02546	ACB	AFR	mother
HG02547	ACB	AFR	child
HG02549	ACB	AFR	mother
HG02554	ACB	AFR	father
HG02555	ACB	AFR	mother
HG02557	ACB	AFR	father
HG02558	ACB	AFR	mother
HG02559	ACB	AFR	child
HG02561	GWD	AFR	father
HG02562	GWD	AFR	mother
HG02563	GWD	AFR	child
HG02567	GWD	AFR	father
HG02568	GWD	AFR	mother
HG02569	GWD	AFR	child
HG02570	GWD	AFR	father
HG02571	GWD	AFR	mother
HG02572	GWD	AFR	child
HG02573	GWD	AFR	father
HG02574	GWD	AFR	mother
HG02575	GWD	AFR	child
HG02577	ACB	AFR	mother
HG02580	ACB	AFR	mother
HG02582	GWD	AFR	father
HG02583	GWD	AFR	mother
HG02584	GWD	AFR	child
HG02585	GWD	AFR	father
HG02586	GWD	AFR	mother
HG02587	GWD	AFR	child
HG02588	GWD	AFR	father
HG02589	GWD	AFR	mother
HG02590	GWD	AFR	child
HG02594	GWD	AFR	father
HG02595	GWD	AFR	mother
HG02596	GWD	AFR	child
HG02597	PJL	SAS	father
HG02599	PJL	SAS	child
HG02600	PJL	SAS	father
HG02601	PJL	SAS	mother
HG02602	PJL	SAS	child
HG02603	PJL	SAS	father
HG02604	PJL	SAS	mother
HG02605	PJL	SAS	child
HG02610	GWD	AFR	father
HG02611	GWD	AFR	mother
HG02612	GWD	AFR	child
HG02613	GWD	AFR	father
HG02614	GWD	AFR	mother
HG02615	GWD	AFR	child
HG02620	GWD	AFR	father
HG02621	GWD	AFR	mother
HG02622	GWD	AFR	child
HG02623	GWD	AFR	father
HG02624	GWD	AFR	mother
HG02625	GWD	AFR	child
HG02628	GWD	AFR	father
HG02629	GWD	AFR	mother
HG02630	GWD	AFR	child
HG02634	GWD	AFR	father
HG02635	GWD	AFR	mother
HG02636	GWD	AFR	child
HG02642	GWD	AFR	father
HG02643	GWD	AFR	mother
HG02644	GWD	AFR	child
HG02645	GWD	AFR	father
HG02646	GWD	AFR	mother
HG02647	GWD	AFR	child
HG02648	PJL	SAS	father
HG02649	PJL	SAS	mother
HG02650	PJL	SAS	child
HG02651	PJL	SAS	father
HG02652	PJL	SAS	mother
HG02653	PJL	SAS	child
HG02654	PJL	SAS	father
HG02655	PJL	SAS	mother
HG02656	PJL	SAS	child
HG02657	PJL	SAS	father
HG02658	PJL	SAS	mother
HG02659	PJL	SAS	child
HG02660	PJL	SAS	father
HG02661	PJL	SAS	mother
HG02662	PJL	SAS	child
HG02666	GWD	AFR	father
HG02667	GWD	AFR	mother
HG02668	GWD	AFR	child
HG02675	GWD	AFR	father
HG02676	GWD	AFR	mother
HG02677	GWD	AFR	child
HG02678	GWD	AFR	father
HG02679	GWD	AFR	mother
HG02680	GWD	AFR	child
HG02681	PJL	SAS	father
HG02682	PJL	SAS	mother
HG02683	PJL	SAS	child
HG02684	PJL	SAS	father
HG02685	PJL	SAS	mother
HG02686	PJL	SAS	child
HG02687	PJL	SAS	father
HG02688	PJL	SAS	mother
HG02689	PJL	SAS	child
HG02690	PJL	SAS	father
HG02691	PJL	SAS	mother
HG02692	PJL	SAS	child
HG02694	PJL	SAS	mother
HG02696	PJL	SAS	father
HG02697	PJL	SAS	mother
HG02698	PJL	SAS	child
HG02699	PJL	SAS	father
HG02700	PJL	SAS	mother
HG02701	PJL	SAS	child
HG02702	GWD	AFR	father
HG02703	GWD	AFR	mother
HG02704	GWD	AFR	child
HG02715	GWD	AFR	father
HG02716	GWD	AFR	mother
HG02717	GWD	AFR	child
HG02721	GWD	AFR	father
HG02722	GWD	AFR	mother
HG02723	GWD	AFR	child
HG02724	PJL	SAS	father
HG02725	PJL	SAS	mother
HG02726	PJL	SAS	child
HG02727	PJL	SAS	father
HG02728	PJL	SAS	mother
HG02729	PJL	SAS	child
HG02731	PJL	SAS	mother
HG02733	PJL	SAS	father
HG02734	PJL	SAS	mother
HG02735	PJL	SAS	child
HG02736	PJL	SAS	father
HG02737	PJL	SAS	mother
HG02738	PJL	SAS	child
HG02756	GWD	AFR	father
HG02757	GWD	AFR	mother
HG02758	GWD	AFR	child
HG02759	GWD	AFR	father
HG02760	GWD	AFR	mother
HG02761	GWD	AFR	child
HG02762	GWD	AFR	father
HG02763	GWD	AFR	mother
HG02764	GWD	AFR	child
HG02768	GWD	AFR	father
HG02769	GWD	AFR	mother
HG02770	GWD	AFR	child
HG02771	GWD	AFR	father
HG02772	GWD	AFR	mother
HG02773	GWD	AFR	child
HG02774	PJL	SAS	father
HG02775	PJL	SAS	mother
HG02776	PJL	SAS	child
HG02778	PJL	SAS	mother
HG02779	PJL	SAS	child
HG02780	PJL	SAS	father
HG02781	PJL	SAS	mother
HG02783	PJL	SAS	father
HG02784	PJL	SAS	mother
HG02785	PJL	SAS	child
HG02786	PJL	SAS	father
HG02787	PJL	SAS	mother
HG02788	PJL	SAS	child
HG02789	PJL	SAS	father
HG02790	PJL	SAS	mother
HG02791	PJL	SAS	child
HG02792	PJL	SAS	father
HG02793	PJL	SAS	mother
HG02794	PJL	SAS	child
HG02798	GWD	AFR	father
HG02799	GWD	AFR	mother
HG02800	GWD	AFR	child
HG02804	GWD	AFR	father
HG02805	GWD	AFR	mother
HG02806	GWD	AFR	child
HG02807	GWD	AFR	father
HG02808	GWD	AFR	mother
HG02809	GWD	AFR	child
HG02810	GWD	AFR	father
HG02811	GWD	AFR	mother
HG02812	GWD	AFR	child
HG02813	GWD	AFR	father
HG02814	GWD	AFR	mother
HG02815	GWD	AFR	child
HG02816	GWD	AFR	father
HG02817	GWD	AFR	mother
HG02818	GWD	AFR	child
HG02819	GWD	AFR	father
HG02820	GWD	AFR	mother
HG02821	GWD	AFR	child
HG02836	GWD	AFR	father
HG02837	GWD	AFR	mother
HG02838	GWD	AFR	child
HG02839	GWD	AFR	father
HG02840	GWD	AFR	mother
HG02841	GWD	AFR	child
HG02851	GWD	AFR	father
HG02852	GWD	AFR	mother
HG02853	GWD	AFR	child
HG02854	GWD	AFR	father
HG02855	GWD	AFR	mother
HG02856	GWD	AFR	child
HG02860	GWD	AFR	father
HG02861	GWD	AFR	mother
HG02862	GWD	AFR	child
HG02869	GWD	AFR	father
HG02870	GWD	AFR	mother
HG02871	GWD	AFR	child
HG02878	GWD	AFR	father
HG02879	GWD	AFR	mother
HG02880	GWD	AFR	child
HG02881	GWD	AFR	father
HG02882	GWD	AFR	mother
HG02883	GWD	AFR	child
HG02884	GWD	AFR	father
HG02885	GWD	AFR	mother
HG02886	GWD	AFR	child
HG02887	GWD	AFR	father
HG02888	GWD	AFR	mother
HG02889	GWD	AFR	child
HG02890	GWD	AFR	father
HG02891	GWD	AFR	mother
HG02892	GWD	AFR	child
HG02895	GWD	AFR	father
HG02896	GWD	AFR	mother
HG02897	GWD	AFR	child
HG02922	ESN	AFR	mother
HG02923	ESN	AFR	father
HG02924	ESN	AFR	child
HG02938	ESN	AFR	father
HG02939	ESN	AFR	child
HG02941	ESN	AFR	father
HG02942	ESN	AFR	child
HG02943	ESN	AFR	mother
HG02944	ESN	AFR	father
HG02945	ESN	AFR	child
HG02946	ESN	AFR	mother
HG02947	ESN	AFR	father
HG02948	ESN	AFR	child
HG02952	ESN	AFR	mother
HG02953	ESN	AFR	father
HG02954	ESN	AFR	child
HG02964	ESN	AFR	mother
HG02965	ESN	AFR	father
HG02966	ESN	AFR	child
HG02968	ESN	AFR	father
HG02969	ESN	AFR	child
HG02970	ESN	AFR	mother
HG02971	ESN	AFR	father
HG02972	ESN	AFR	child
HG02973	ESN	AFR	father
HG02974	ESN	AFR	mother
HG02975	ESN	AFR	child
HG02976	ESN	AFR	mother
HG02977	ESN	AFR	father
HG02978	ESN	AFR	child
HG02979	ESN	AFR	mother
HG02980	ESN	AFR	child
HG02981	ESN	AFR	father
HG02982	GWD	AFR	father
HG02983	GWD	AFR	mother
HG02984	GWD	AFR	child
HG03006	BEB	SAS	father
HG03007	BEB	SAS	mother
HG03008	BEB	SAS	child
HG03009	BEB	SAS	unrel
HG03012	BEB	SAS	father
HG03015	PJL	SAS	father
HG03016	PJL	SAS	mother
HG03017	PJL	SAS	child
HG03018	PJL	SAS	father
HG03019	PJL	SAS	mother
HG03021	PJL	SAS	father
HG03022	PJL	SAS	unrel
HG03023	PJL	SAS	child
HG03024	GWD	AFR	father
HG03025	GWD	AFR	mother
HG03026	GWD	AFR	child
HG03027	GWD	AFR	father
HG03028	GWD	AFR	mother
HG03029	GWD	AFR	child
HG03033	GWD	AFR	father
HG03034	GWD	AFR	mother
HG03035	GWD	AFR	child
HG03039	GWD	AFR	father
HG03040	GWD	AFR	mother
HG03041	GWD	AFR	child
HG03045	GWD	AFR	father
HG03046	GWD	AFR	mother
HG03047	GWD	AFR	child
HG03048	GWD	AFR	father
HG03049	GWD	AFR	mother
HG03050	GWD	AFR	child
HG03052	MSL	AFR	mother
HG03053	MSL	AFR	child
HG03054	MSL	AFR	father
HG03055	MSL	AFR	mother
HG03056	MSL	AFR	child
HG03057	MSL	AFR	unrel
HG03058	MSL	AFR	mother
HG03059	MSL	AFR	child
HG03060	MSL	AFR	unrel
HG03061	MSL	AFR	mother
HG03062	MSL	AFR	child
HG03063	MSL	AFR	father
HG03064	MSL	AFR	mother
HG03065	MSL	AFR	child
HG03066	MSL	AFR	father
HG03069	MSL	AFR	father
HG03072	MSL	AFR	father
HG03073	MSL	AFR	mother
HG03074	MSL	AFR	unrel
HG03076	MSL	AFR	mother
HG03077	MSL	AFR	unrel
HG03078	MSL	AFR	unrel
HG03079	MSL	AFR	mother
HG03080	MSL	AFR	child
HG03081	MSL	AFR	father
HG03082	MSL	AFR	mother
HG03084	MSL	AFR	unrel
HG03085	MSL	AFR	unrel
HG03086	MSL	AFR	unrel
HG03088	MSL	AFR	mother
HG03091	MSL	AFR	mother
HG03095	MSL	AFR	child
HG03096	MSL	AFR	father
HG03097	MSL	AFR	mother
HG03098	MSL	AFR	child
HG03099	ESN	AFR	mother
HG03100	ESN	AFR	father
HG03101	ESN	AFR	child
HG03103	ESN	AFR	father
HG03104	ESN	AFR	child
HG03105	ESN	AFR	mother
HG03107	ESN	AFR	child
HG03108	ESN	AFR	mother
HG03109	ESN	AFR	father
HG03110	ESN	AFR	child
HG03111	ESN	AFR	mother
HG03112	ESN	AFR	father
HG03113	ESN	AFR	child
HG03114	ESN	AFR	mother
HG03115	ESN	AFR	father
HG03116	ESN	AFR	child
HG03117	ESN	AFR	mother
HG03118	ESN	AFR	father
HG03119	ESN	AFR	child
HG03120	ESN	AFR	father
HG03121	ESN	AFR	mother
HG03122	ESN	AFR	child
HG03123	ESN	AFR	mother
HG03124	ESN	AFR	father
HG03125	ESN	AFR	child
HG03126	ESN	AFR	mother
HG03127	ESN	AFR	father
HG03128	ESN	AFR	child
HG03129	ESN	AFR	mother
HG03130	ESN	AFR	father
HG03131	ESN	AFR	child
HG03132	ESN	AFR	mother
HG03133	ESN	AFR	father
HG03134	ESN	AFR	child
HG03135	ESN	AFR	mother
HG03136	ESN	AFR	father
HG03137	ESN	AFR	child
HG03139	ESN	AFR	father
HG03140	ESN	AFR	child
HG03157	ESN	AFR	father
HG03158	ESN	AFR	child
HG03159	ESN	AFR	mother
HG03160	ESN	AFR	father
HG03161	ESN	AFR	child
HG03162	ESN	AFR	mother
HG03163	ESN	AFR	father
HG03164	ESN	AFR	child
HG03166	ESN	AFR	father
HG03167	ESN	AFR	child
HG03168	ESN	AFR	mother
HG03169	ESN	AFR	father
HG03170	ESN	AFR	child
HG03171	ESN	AFR	unrel
HG03172	ESN	AFR	father
HG03173	ESN	AFR	child
HG03175	ESN	AFR	father
HG03176	ESN	AFR	child
HG03189	ESN	AFR	mother
HG03190	ESN	AFR	father
HG03191	ESN	AFR	child
HG03193	ESN	AFR	father
HG03194	ESN	AFR	child
HG03195	ESN	AFR	mother
HG03196	ESN	AFR	father
HG03197	ESN	AFR	child
HG03198	ESN	AFR	mother
HG03199	ESN	AFR	father
HG03200	ESN	AFR	child
HG03202	ESN	AFR	father
HG03203	ESN	AFR	child
HG03209	MSL	AFR	child
HG03212	MSL	AFR	child
HG03224	MSL	AFR	child
HG03225	MSL	AFR	father
HG03228	PJL	SAS	father
HG03229	PJL	SAS	mother
HG03230	PJL	SAS	child
HG03234	PJL	SAS	father
HG03235	PJL	SAS	mother
HG03236	PJL	SAS	child
HG03237	PJL	SAS	father
HG03238	PJL	SAS	mother
HG03239	PJL	SAS	child
HG03240	GWD	AFR	father
HG03241	GWD	AFR	mother
HG03242	GWD	AFR	child
HG03246	GWD	AFR	father
HG03247	GWD	AFR	mother
HG03248	GWD	AFR	child
HG03249	GWD	AFR	father
HG03250	GWD	AFR	mother
HG03251	GWD	AFR	child
HG03258	GWD	AFR	father
HG03259	GWD	AFR	mother
HG03260	GWD	AFR	child
HG03265	ESN	AFR	father
HG03266	ESN	AFR	child
HG03267	ESN	AFR	mother
HG03268	ESN	AFR	father
HG03269	ESN	AFR	child
HG03270	ESN	AFR	mother
HG03271	ESN	AFR	father
HG03272	ESN	AFR	child
HG03279	ESN	AFR	mother
HG03280	ESN	AFR	father
HG03291	ESN	AFR	mother
HG03293	ESN	AFR	child
HG03294	ESN	AFR	mother
HG03295	ESN	AFR	father
HG03296	ESN	AFR	child
HG03297	ESN	AFR	mother
HG03298	ESN	AFR	father
HG03299	ESN	AFR	child
HG03300	ESN	AFR	mother
HG03301	ESN	AFR	father
HG03302	ESN	AFR	child
HG03303	ESN	AFR	mother
HG03304	ESN	AFR	father
HG03305	ESN	AFR	child
HG03306	ESN	AFR	mother
HG03307	ESN	AFR	father
HG03308	ESN	AFR	child
HG03309	ESN	AFR	mother
HG03310	ESN	AFR	child
HG03311	ESN	AFR	father
HG03312	ESN	AFR	mother
HG03313	ESN	AFR	father
HG03314	ESN	AFR	child
HG03339	ESN	AFR	mother
HG03341	ESN	AFR	child
HG03342	ESN	AFR	mother
HG03343	ESN	AFR	father
HG03344	ESN	AFR	child
HG03350	ESN	AFR	child
HG03351	ESN	AFR	mother
HG03352	ESN	AFR	father
HG03354	ESN	AFR	mother
HG03361	ESN	AFR	father
HG03362	ESN	AFR	child
HG03363	ESN	AFR	mother
HG03365	ESN	AFR	child
HG03366	ESN	AFR	mother
HG03367	ESN	AFR	father
HG03368	ESN	AFR	child
